ToolID,ToolCode,CompanyCode,Model,Barcode,Description,CreatedDate,UpdatedDate,IsActive
434,16ERM1.25-ISO-908,MFC,16ERM1.25-ISO-908,NULL,"INSERT TIỆN REN NGƯỜI BƯỚC 1.25
","2019-03-15 10:38:32","2019-03-16 15:57:23",1
435,TKF12L100-S-PR1425,MFC,TKF12L100-S-PR1425,NULL,"INSERT TRĨNH RÃNH 
","2019-03-15 10:38:55","2019-03-16 15:57:23",1
436,TNGG16040L-C-TN620,MFC,TNGG16040L-C-TN620,NULL,"INSERT PHÁ THÔ R0.4
","2019-03-15 10:39:15","2019-03-16 15:57:23",1
437,EZBR040035ST-015F-PR1225,MFC,EZBR040035ST-015F-PR1225,NULL,"INSERT MÓC LỖ 
","2019-03-15 10:39:35","2019-03-16 15:57:23",1
438,VNGA160404S02025-PT600M,MFC,VNGA160404S02025-PT600M,NULL,"INSERT PHÁ THÔ R 0.4
","2019-03-15 10:39:59","2019-03-16 15:57:23",1
439,VNMG160402PP-PV720,MFC,VNMG160402PP-PV720,NULL,"INSERT PHÁ THÔ R0.2
","2019-03-15 10:40:19","2019-03-16 15:57:23",1
440,TCMT090204HQ-PV720,MFC,TCMT090204HQ-PV720,NULL,"INSERT PHÁ THÔ R0.4
","2019-03-15 10:40:41","2019-03-16 15:57:23",1
441,TCEX100304E-AROM4025,MFC,TCEX100304E-AROM4025,NULL,"INSERT CHAMPER 12
","2019-03-15 10:41:30","2019-03-16 15:57:23",1
442,"TPGH110304L - PR1425",MFC,"TPGH110304L - PR1425",NULL,"INSERT TIỆN PHÁ THÔ","2019-04-17 08:08:49","2019-04-17 08:17:19",1
443,"WNMG080408-TF IC807",MFC,"WNMG080408-TF IC807",NULL,"INSERT TIỆN","2019-04-17 08:35:46","2019-04-17 08:35:46",1
444,CCMT09T308HQ-CA025P,MFC,CCMT09T308HQ-CA025P,NULL,"INSERT TIỆN","2019-04-17 08:36:11","2019-04-17 08:36:11",1
445,WNMG080408WP-CA025P,MFC,WNMG080408WP-CA025P,NULL,"INSERT TIỆN","2019-04-17 08:45:14","2019-04-17 08:45:14",1
446,XPLT060308ERD41-SP6519,MFC,XPLT060308ERD41-SP6519,NULL,"INSERT TIỆN","2019-04-17 08:45:35","2019-04-17 08:45:35",1
502,"INSERT TIỆN",MFC,SCMT060205-GM-E,NULL,"INSERT KHOAN (A=6.4, T= 2.8, D=0.9, R0.5)","2019-05-27 11:35:35","2019-05-27 11:36:01",1
503,"INSERT KHOAN (A6.9, T= 2.8, D2.9, R=1.0)",MFC,SCMT060210-GM-I,NULL,"INSERT KHOAN (A6.9, T= 2.8, D2.9, R=1.0)","2019-05-27 11:36:33","2019-05-27 11:37:01",1
504,SCMT070305-GM-E,MFC,SCMT070305-GM-E,NULL,"INSERT KHOAN (A=7.65, T=3.2, D3.5, R=0.5)","2019-05-27 11:37:45","2019-05-27 11:37:45",1
505,SCMT070310-GM-I,MFC,SCMT070310-GM-I,NULL,"INSERT KHOAN (A=8.20, T=3.2, D=3.5, R=1.0)","2019-05-27 11:38:06","2019-05-27 11:38:06",1
506,"SCMT090405-GM-E (PR1225)",MFC,"SCMT090405-GM-E (PR1225)",NULL,"INSERT KHOAN (A= 9.10, T=4.1, D=4.0, R= 0.5)","2019-05-27 11:38:28","2019-05-27 11:38:28",1
507,"SCMT090410-GM-I (PR1535)",MFC,"SCMT090410-GM-I (PR1535)",NULL,"INSERT KHOAN ( A= 9.80, T=4.1, D=4.0, R=1.0)","2019-05-27 11:38:57","2019-05-27 11:38:57",1
508,"TKN3 (PR1535)",MFC,"TKN3 (PR1535)",NULL,"INSERT TIỆN CẮT ĐỨT  (W=3.1, R=0.25)","2019-05-27 11:40:08","2019-05-27 11:40:08",1
509,XVCT160508R-AJ(TH10),MFC,XVCT160508R-AJ(TH10),NULL,"INSERT PHAY 40","2019-05-27 11:40:25","2019-05-27 11:40:25",1
510,CCET040104ML-FSF(PR1225),MFC,CCET040104ML-FSF(PR1225),NULL,"INSERT TIỆN PHÁ THÔ ( R<0.4)","2019-05-27 11:40:48","2019-05-27 11:40:48",1
511,CCMT09T302GK(PR1125),MFC,CCMT09T302GK(PR1125),NULL,"INSERT PHÁ THÔ ( R0.2 )","2019-05-27 11:41:07","2019-05-27 11:41:07",1
512,CCMT09T304GK-CA525,MFC,CCMT09T304GK-CA525,NULL,"INSERT PHÁ THÔ ( R0.4)","2019-05-27 11:41:24","2019-05-27 11:41:24",1
